cod_munic;munic;pop_munic;mes;ano
3300225;Areal;10839;11;2006
3300233;Armação dos Búzios;23678;11;2006
3300258;Arraial do Cabo;26242;11;2006
3300308;Barra do Piraí;92428;11;2006
3300407;Barra Mansa;175192;11;2006
3300456;Belford Roxo;456242;11;2006
3300506;Bom Jardim;24315;11;2006
3300605;Bom Jesus do Itabapoana;34757;11;2006
3300704;Cabo Frio;161797;11;2006
3300803;Cachoeiras de Macacu;52098;11;2006
3300902;Cambuci;14769;11;2006
3301009;Campos dos Goytacazes;442073;11;2006
3301108;Cantagalo;19832;11;2006
3300936;Carapebus;11402;11;2006
3301157;Cardoso Moreira;12598;11;2006
3301207;Carmo;16615;11;2006
3301306;Casimiro de Abreu;29791;11;2006
3300951;Comendador Levy Gasparian;8085;11;2006
3301405;Conceição de Macabu;20286;11;2006
3301504;Cordeiro;19740;11;2006
3301603;Duas Barras;10708;11;2006
3301702;Duque de Caxias;824970;11;2006
3301801;Engenheiro Paulo de Frontin;12833;11;2006
3301850;Guapimirim;46044;11;2006
3301876;Iguaba Grande;19630;11;2006
3301900;Itaboraí;206283;11;2006
3302007;Itaguaí;98263;11;2006
3302056;Italva;13516;11;2006
3302106;Itaocara;22937;11;2006
3302205;Itaperuna;92392;11;2006
3302254;Itatiaia;27230;11;2006
3302270;Japeri;90821;11;2006
3302304;Laje do Muriaé;7639;11;2006
3302403;Macaé;175651;11;2006
3302452;Macuco;5125;11;2006
3302502;Magé;219196;11;2006
3302601;Mangaratiba;31708;11;2006
3302700;Maricá;105864;11;2006
3302809;Mendes;17695;11;2006
3302858;Mesquita;168253;11;2006
3302908;Miguel Pereira;24368;11;2006
3303005;Miracema;26924;11;2006
3303104;Natividade;15098;11;2006
3303203;Nilópolis;156053;11;2006
3303302;Niterói;477063;11;2006
3303401;Nova Friburgo;178857;11;2006
3303500;Nova Iguaçu;784607;11;2006
3303609;Paracambi;44569;11;2006
3303708;Paraíba do Sul;39697;11;2006
3303807;Paraty;34383;11;2006
3303856;Paty do Alferes;25826;11;2006
3303906;Petrópolis;292443;11;2006
3303955;Pinheiral;21474;11;2006
3304003;Piraí;24691;11;2006
3304102;Porciúncula;17075;11;2006
3304110;Porto Real;14778;11;2006
3304128;Quatis;11995;11;2006
3304144;Queimados;131880;11;2006
3304151;Quissamã;17534;11;2006
3304201;Resende;113950;11;2006
3304300;Rio Bonito;53327;11;2006
3304409;Rio Claro;16976;11;2006
3304508;Rio das Flores;8205;11;2006
3304524;Rio das Ostras;71633;11;2006
3304557;Rio de Janeiro;6146807;11;2006
3304607;Santa Maria Madalena;10378;11;2006
3304706;Santo Antônio de Pádua;39883;11;2006
3304805;São Fidélis;37265;11;2006
3304755;São Francisco de Itabapoana;41277;11;2006
3304904;São Gonçalo;958467;11;2006
3305000;São João da Barra;30792;11;2006
3305109;São João de Meriti;455279;11;2006
3305133;São José de Ubá;6781;11;2006
3305158;São José do Vale do Rio Preto;19889;11;2006
3305208;São Pedro da Aldeia;77897;11;2006
3305307;São Sebastião do Alto;8711;11;2006
3305406;Sapucaia;17389;11;2006
3305505;Saquarema;65374;11;2006
3305554;Seropédica;73177;11;2006
3305604;Silva Jardim;21318;11;2006
3305703;Sumidouro;14630;11;2006
3305752;Tanguá;28929;11;2006
3305802;Teresópolis;153831;11;2006
3305901;Trajano de Moraes;10196;11;2006
3306008;Três Rios;75386;11;2006
3306107;Valença;69762;11;2006
3306156;Varre-Sai;8846;11;2006
3306206;Vassouras;33294;11;2006
3306305;Volta Redonda;251918;11;2006
3300100;Angra dos Reis;149474;12;2006
3300159;Aperibé;9366;12;2006
3300209;Araruama;100534;12;2006
3300225;Areal;10852;12;2006
3300233;Armação dos Búzios;23762;12;2006
3300258;Arraial do Cabo;26275;12;2006
3300308;Barra do Piraí;92481;12;2006
3300407;Barra Mansa;175251;12;2006
3300456;Belford Roxo;456536;12;2006
3300506;Bom Jardim;24338;12;2006
3300605;Bom Jesus do Itabapoana;34772;12;2006
3300704;Cabo Frio;162325;12;2006
3300803;Cachoeiras de Macacu;52147;12;2006
3300902;Cambuci;14771;12;2006
3301009;Campos dos Goytacazes;442557;12;2006
3301108;Cantagalo;19832;12;2006
